resolved_at,date,sport,category,home_team,away_team,market,selection,bet_mode,ai_probability,bookmaker_odds,value,stake,result,profit,final_winner,final_score_home,final_score_away,status_detail,score_exact_1,score_exact_1_proba,score_exact_2,score_exact_2_proba,tennis_engine_score,tennis_edge
,2026-05-26T18:45:00Z,soccer_france_ligue_one,football,Saint Etienne,Nice,Home Win,saint etienne,VALUE,0.72,2.38,0.7136,1.8,LOSS,-1.8,Nice,1.0,2.0,RESOLVED_FROM_MANUAL_RESULTS,,,,,,
,2026-05-26T12:20:00Z,tennis_atp_french_open,tennis,Cameron Norrie,Adolfo Daniel Vallejo,Player 2 Win,adolfo daniel vallejo,AGGRESSIVE,0.5251,2.3,0.2078,0.96,LOSS,-0.96,Cameron Norrie,3.0,0.0,RESOLVED_FROM_MANUAL_RESULTS,,,,,,
,2026-05-26T13:00:00Z,tennis_atp_french_open,tennis,Cristian Garin,Learner Tien,Player 2 Win,learner tien,VALUE,0.6709,1.62,0.0869,1.8,WIN,1.12,Learner Tien,1.0,3.0,RESOLVED_FROM_SOFASCORE,,,,,,
,2026-05-26T13:00:00Z,tennis_wta_french_open,tennis,Dalma Galfi,Mayar Sherif,Player 1 Win,dalma galfi,VALUE,0.6006,1.87,0.123,1.8,LOSS,-1.8,Mayar Sherif,0.0,2.0,RESOLVED_FROM_SOFASCORE,,,,,,
2026-05-27T14:40:59.719318+00:00,2026-05-27T11:03:00Z,tennis_atp_french_open,tennis,Camilo Ugo Carabelli,Andrey Rublev,Player 2 Win,Andrey Rublev,SAFE PICK,0.752505,1.4,0.0535,2.2,WIN,0.88,Andrey Rublev,1.0,3.0,RESOLVED_FROM_SOFASCORE,2-0,68.29,2-1,31.71,80.87,0.0805
2026-05-27T21:21:11.749216+00:00,2026-05-27T16:20:00Z,tennis_atp_french_open,tennis,Casper Ruud,Hamad Medjedovic,Player 1 Win,Casper Ruud,MEGA VALUE,0.7732,1.42,0.0979,3.0,WIN,1.26,Casper Ruud,3.0,0.0,RESOLVED_FROM_SOFASCORE,2-0,68.41,2-1,31.59,82.46,0.098
,2026-05-27T09:00:00Z,tennis_atp_french_open,tennis,Federico Cinà,Jesper De Jong,Player 1 Win,Federico Cinà,RISKY VALUE,0.513,2.36,0.2106,0.72,LOSS,-0.72,Jesper De Jong,1.0,3.0,RESOLVED_FROM_MANUAL_RESULTS,,,,,,
,2026-05-27T09:00:00Z,tennis_atp_french_open,tennis,Hubert Hurkacz,Frances Tiafoe,Player 2 Win,frances tiafoe,AGGRESSIVE,0.5334,2.2,0.1735,0.96,WIN,1.15,Frances Tiafoe,1.0,3.0,RESOLVED_FROM_MANUAL_RESULTS,,,,,,
2026-05-27T21:20:42.029675+00:00,2026-05-27T14:15:00Z,tennis_atp_french_open,tennis,Joao Fonseca,Dino Prizmic,Player 1 Win,Joao Fonseca,VALUE BET,0.5909475,2.0,0.1819,1.6,WIN,1.6,Joao Fonseca,3.0,2.0,RESOLVED_FROM_SOFASCORE,2-0,54.7,2-1,45.3,80.45,0.2121
2026-05-27T21:21:11.628922+00:00,2026-05-27T14:38:00Z,tennis_atp_french_open,tennis,Nishesh Basavareddy,Alex Michelsen,Player 2 Win,Alex Michelsen,MEGA VALUE,0.7168,1.58,0.1325,3.0,WIN,1.74,Alex Michelsen,1.0,3.0,RESOLVED_FROM_SOFASCORE,2-0,63.78,2-1,36.22,81.44,0.1326
2026-05-27T21:21:08.724668+00:00,2026-05-27T14:30:00Z,tennis_atp_french_open,tennis,Ugo Humbert,Quentin Halys,Player 1 Win,Ugo Humbert,MEGA VALUE,0.6429,2.26,0.453,3.0,LOSS,-3.0,Quentin Halys,0.0,3.0,RESOLVED_FROM_SOFASCORE,2-0,57.72,2-1,42.28,100.0,0.4529
