segment,bets,wins,losses,stake,profit,avg_odds,dimension,winrate,roi,ai_recommendation
MEDIUM,10,4,6,13.43,-4.42,1.9420000000000002,Mode de pari,0.4,-0.3291139240506329,REDUCE
MEGA VALUE,10,6,4,30.0,2.0700000000000003,1.752,Mode de pari,0.6,0.069,KEEP
OTHER,4,2,2,7.1000000000000005,-1.2500000000000002,1.3875,Mode de pari,0.5,-0.17605633802816903,REDUCE
RISKY,2,1,1,1.92,0.18999999999999995,2.25,Mode de pari,0.5,0.09895833333333331,WAIT_MORE_DATA
football,1,0,1,1.8,-1.8,2.38,Sport,0.0,-1.0,WAIT_MORE_DATA
tennis,25,13,12,50.65,-1.6099999999999994,1.7844,Sport,0.52,-0.03178677196446198,KEEP
soccer_france_ligue_one,1,0,1,1.8,-1.8,2.38,Compétition,0.0,-1.0,WAIT_MORE_DATA
tennis_atp_french_open,15,8,7,31.64,-0.20000000000000018,1.8706666666666665,Compétition,0.5333333333333333,-0.006321112515802787,KEEP
tennis_wta_french_open,10,5,5,19.009999999999998,-1.4099999999999993,1.655,Compétition,0.5,-0.07417148869016305,KEEP
Home Win,1,0,1,1.8,-1.8,2.38,Marché,0.0,-1.0,WAIT_MORE_DATA
Player 1 Win,12,6,6,22.13,2.63,1.8916666666666666,Marché,0.5,0.11884319927699954,KEEP
Player 2 Win,13,7,6,28.52,-4.24,1.6853846153846155,Marché,0.5384615384615384,-0.14866760168302945,REDUCE
