dimension,segment,bets,winrate,roi,profit,action,predicted,actual,gap
sport,soccer_france_ligue_one,1,0.0,-1.0,-1.8,KEEP,,,
sport,tennis_atp_french_open,5,0.6,0.3519,1.9,KEEP,,,
sport,tennis_wta_french_open,2,0.0,-1.0,-2.14,KEEP,,,
mode,AGGRESSIVE,3,0.6667,0.5208,1.5,KEEP,,,
mode,RISKY VALUE,2,0.0,-1.0,-1.06,KEEP,,,
mode,VALUE,3,0.3333,-0.4593,-2.48,KEEP,,,
probability_bin,0-54,5,0.4,,,CALIBRATE,0.5213,0.4,-0.1213
probability_bin,58-62,1,0.0,,,CALIBRATE,0.6006,0.0,-0.6006
probability_bin,66-72,1,1.0,,,CALIBRATE,0.6709,1.0,0.3291
probability_bin,72+,1,0.0,,,CALIBRATE,0.72,0.0,-0.72
