date,sport,odds_source,category,home_team,away_team,market,selection,ai_probability,bookmaker_odds,implied_probability,value,confidence,ia_badge,reliable_only,safety_score,safety_level,football_trap_signal,learning_adjustment,calibration_adjustment,threshold_profile,decision_status,refusal_reason,decision_reason,home_recent_form,away_recent_form,home_recent_attack,away_recent_attack,home_recent_defense,away_recent_defense,football_data_quality,decision,bankroll,stake_percent,kelly_fraction,suggested_stake,bet_mode,home_elo,away_elo,elo_diff,home_xg,away_xg,draw_probability,draw_hunter,score_exact_alert,scorer_prediction,over_25,under_25,btts_yes,btts_no,top_scores,tennis_engine_score,tennis_form_home,tennis_form_away,tennis_edge,priority,score_exact_1,score_exact_1_proba,score_exact_2,score_exact_2_proba,score_exact_3,score_exact_3_proba,result,won,stake,profit,flat_stake,flat_profit,backtest_match_date,actual_result
2026-04-25 18:00:00,F1,historical-backtest,football,Angers,Paris SG,Home Win,Angers,0.116,10.0,0.1,0.1601,A EVITER,WATCHLIST,False,68.29,5 - WATCHLIST,COTE HAUTE,BASELINE,BASELINE,MEGA 70%/3% | SAFE 63%/1% | VALUE 58%/3%,,,Value positive 16.0% | Proba IA 11.6% | COTE HAUTE | Source historical-backtest,0.21,0.62,0.5,2.12,1.62,1.12,1,NO BET,10.0,0.0,0.0,0.0,WATCHLIST,1444.5,1682.0,-172.5,0.75,1.51,0.2605,NO DRAW SIGNAL,SCORE CALIBRE - PROBA PRUDENTE,A recalculer via player_scorers,0.3933,0.6067,0.4111,0.5889,"[('0-1', 0.1337), ('1-1', 0.1151), ('0-2', 0.0975), ('1-0', 0.0838), ('1-2', 0.0809)]",0.0,0.0,0.0,0.0,177.81,0-1,13.37,1-1,11.51,0-2,9.75,LOSS,0,0.0,-0.0,1.0,-1.0,2026-04-25 18:00:00,A
2026-04-25 18:00:00,F1,historical-backtest,football,Angers,Paris SG,Draw,Draw,0.1893,6.0,0.1667,0.1361,A EVITER,WATCHLIST,False,64.6,5 - WATCHLIST,COTE HAUTE,BASELINE,BASELINE,MEGA 70%/3% | SAFE 63%/1% | VALUE 58%/3%,,,Value positive 13.6% | Proba IA 18.9% | COTE HAUTE | Source historical-backtest,0.21,0.62,0.5,2.12,1.62,1.12,1,NO BET,10.0,0.0,0.0,0.0,WATCHLIST,1444.5,1682.0,-172.5,0.75,1.51,0.2605,NO DRAW SIGNAL,SCORE CALIBRE - PROBA PRUDENTE,A recalculer via player_scorers,0.3933,0.6067,0.4111,0.5889,"[('0-1', 0.1337), ('1-1', 0.1151), ('0-2', 0.0975), ('1-0', 0.0838), ('1-2', 0.0809)]",0.0,0.0,0.0,0.0,167.31,0-1,13.37,1-1,11.51,0-2,9.75,LOSS,0,0.0,-0.0,1.0,-1.0,2026-04-25 18:00:00,A
2026-04-25 18:00:00,F1,historical-backtest,football,Angers,Paris SG,Away Win,Paris SG,0.6946,1.27,0.7874,-0.1178,Forte,WATCHLIST,False,72.67,5 - WATCHLIST,OK,BASELINE,BASELINE,MEGA 70%/3% | SAFE 63%/1% | VALUE 58%/3%,,,Value negative ou nulle | Proba IA 69.5% | Source historical-backtest,0.21,0.62,0.5,2.12,1.62,1.12,1,NO BET,10.0,0.0,0.0,0.0,WATCHLIST,1444.5,1682.0,-172.5,0.75,1.51,0.2605,NO DRAW SIGNAL,SCORE CALIBRE - PROBA PRUDENTE,A recalculer via player_scorers,0.3933,0.6067,0.4111,0.5889,"[('0-1', 0.1337), ('1-1', 0.1151), ('0-2', 0.0975), ('1-0', 0.0838), ('1-2', 0.0809)]",0.0,0.0,0.0,0.0,157.63,0-1,13.37,1-1,11.51,0-2,9.75,WIN,1,0.0,0.0,1.0,0.27,2026-04-25 18:00:00,A
2026-04-25 19:00:00,N1,historical-backtest,football,NAC Breda,Ajax,Home Win,NAC Breda,0.2794,3.2,0.3125,-0.1059,A EVITER,NO BET,False,58.24,5 - WATCHLIST,OK,BASELINE,BASELINE,MEGA 70%/3% | SAFE 63%/1% | VALUE 58%/3%,,,Value negative ou nulle | Proba IA 27.9% | Source historical-backtest,0.38,0.5,0.88,1.88,1.88,1.0,1,NO BET,10.0,0.0,0.0,0.0,NO BET,1407.5,1610.6,-138.1,1.06,1.44,0.2641,NO DRAW SIGNAL,SCORE CALIBRE - PROBA PRUDENTE,A recalculer via player_scorers,0.4562,0.5438,0.4987,0.5013,"[('1-1', 0.1166), ('0-1', 0.102), ('1-0', 0.0876), ('1-2', 0.079), ('0-2', 0.0708)]",0.0,0.0,0.0,0.0,106.92,1-1,11.66,0-1,10.2,1-0,8.76,LOSS,0,0.0,-0.0,1.0,-1.0,2026-04-25 19:00:00,A
2026-04-25 19:00:00,N1,historical-backtest,football,NAC Breda,Ajax,Draw,Draw,0.2492,3.9,0.2564,-0.0281,A EVITER,NO BET,False,58.23,5 - WATCHLIST,MARCHE JUSTE,BASELINE,BASELINE,MEGA 70%/3% | SAFE 63%/1% | VALUE 58%/3%,,,Value negative ou nulle | Proba IA 24.9% | MARCHE JUSTE | Source historical-backtest,0.38,0.5,0.88,1.88,1.88,1.0,1,NO BET,10.0,0.0,0.0,0.0,NO BET,1407.5,1610.6,-138.1,1.06,1.44,0.2641,NO DRAW SIGNAL,SCORE CALIBRE - PROBA PRUDENTE,A recalculer via player_scorers,0.4562,0.5438,0.4987,0.5013,"[('1-1', 0.1166), ('0-1', 0.102), ('1-0', 0.0876), ('1-2', 0.079), ('0-2', 0.0708)]",0.0,0.0,0.0,0.0,104.79,1-1,11.66,0-1,10.2,1-0,8.76,LOSS,0,0.0,-0.0,1.0,-1.0,2026-04-25 19:00:00,A
2026-04-25 19:00:00,N1,historical-backtest,football,NAC Breda,Ajax,Away Win,Ajax,0.4714,2.05,0.4878,-0.0337,A EVITER,NO BET,False,78.93,5 - WATCHLIST,MARCHE JUSTE,BASELINE,BASELINE,MEGA 70%/3% | SAFE 63%/1% | VALUE 58%/3%,,,Value negative ou nulle | Proba IA 47.1% | MARCHE JUSTE | Source historical-backtest,0.38,0.5,0.88,1.88,1.88,1.0,1,NO BET,10.0,0.0,0.0,0.0,NO BET,1407.5,1610.6,-138.1,1.06,1.44,0.2641,NO DRAW SIGNAL,SCORE CALIBRE - PROBA PRUDENTE,A recalculer via player_scorers,0.4562,0.5438,0.4987,0.5013,"[('1-1', 0.1166), ('0-1', 0.102), ('1-0', 0.0876), ('1-2', 0.079), ('0-2', 0.0708)]",0.0,0.0,0.0,0.0,151.39,1-1,11.66,0-1,10.2,1-0,8.76,WIN,1,0.0,0.0,1.0,1.0499999999999998,2026-04-25 19:00:00,A
2026-04-25 19:45:00,B1,historical-backtest,football,Westerlo,Antwerp,Home Win,Westerlo,0.4419,2.1,0.4762,-0.0719,A EVITER,NO BET,False,73.29,5 - WATCHLIST,MARCHE JUSTE,BASELINE,BASELINE,MEGA 70%/3% | SAFE 63%/1% | VALUE 58%/3%,,,Value negative ou nulle | Proba IA 44.2% | MARCHE JUSTE | Source historical-backtest,0.58,0.46,1.12,1.0,0.62,0.88,1,NO BET,10.0,0.0,0.0,0.0,NO BET,1520.8,1481.7,104.1,1.09,0.82,0.3131,NO DRAW SIGNAL,SCORE CALIBRE - PROBA PRUDENTE,A recalculer via player_scorers,0.299,0.701,0.3714,0.6286,"[('1-0', 0.1305), ('1-1', 0.1146), ('0-0', 0.1117), ('0-1', 0.0979), ('2-0', 0.0758)]",0.0,0.0,0.0,0.0,140.87,1-0,13.05,1-1,11.46,0-0,11.17,LOSS,0,0.0,-0.0,1.0,-1.0,2026-04-25 19:45:00,A
2026-04-25 19:45:00,B1,historical-backtest,football,Westerlo,Antwerp,Draw,Draw,0.2825,3.4,0.2941,-0.0394,A EVITER,WATCHLIST,False,61.34,5 - WATCHLIST,MARCHE JUSTE,BASELINE,BASELINE,MEGA 70%/3% | SAFE 63%/1% | VALUE 58%/3%,,,Value negative ou nulle | Proba IA 28.2% | MARCHE JUSTE | Source historical-backtest,0.58,0.46,1.12,1.0,0.62,0.88,1,NO BET,10.0,0.0,0.0,0.0,WATCHLIST,1520.8,1481.7,104.1,1.09,0.82,0.3131,DRAW POSSIBLE,SCORE CALIBRE - PROBA PRUDENTE,A recalculer via player_scorers,0.299,0.701,0.3714,0.6286,"[('1-0', 0.1305), ('1-1', 0.1146), ('0-0', 0.1117), ('0-1', 0.0979), ('2-0', 0.0758)]",0.0,0.0,0.0,0.0,111.79,1-0,13.05,1-1,11.46,0-0,11.17,LOSS,0,0.0,-0.0,1.0,-1.0,2026-04-25 19:45:00,A
2026-04-25 19:45:00,B1,historical-backtest,football,Westerlo,Antwerp,Away Win,Antwerp,0.2755,3.1,0.3226,-0.1459,A EVITER,NO BET,False,58.07,5 - WATCHLIST,OK,BASELINE,BASELINE,MEGA 70%/3% | SAFE 63%/1% | VALUE 58%/3%,,,Value negative ou nulle | Proba IA 27.6% | Source historical-backtest,0.58,0.46,1.12,1.0,0.62,0.88,1,NO BET,10.0,0.0,0.0,0.0,NO BET,1520.8,1481.7,104.1,1.09,0.82,0.3131,NO DRAW SIGNAL,SCORE CALIBRE - PROBA PRUDENTE,A recalculer via player_scorers,0.299,0.701,0.3714,0.6286,"[('1-0', 0.1305), ('1-1', 0.1146), ('0-0', 0.1117), ('0-1', 0.0979), ('2-0', 0.0758)]",0.0,0.0,0.0,0.0,106.39,1-0,13.05,1-1,11.46,0-0,11.17,WIN,1,0.0,0.0,1.0,2.1,2026-04-25 19:45:00,A
2026-04-25 19:45:00,I1,historical-backtest,football,Verona,Lecce,Home Win,Verona,0.345,2.7,0.3704,-0.0684,A EVITER,NO BET,False,64.62,5 - WATCHLIST,MARCHE JUSTE,BASELINE,BASELINE,MEGA 70%/3% | SAFE 63%/1% | VALUE 58%/3%,,,Value negative ou nulle | Proba IA 34.5% | MARCHE JUSTE | Source historical-backtest,0.12,0.17,0.5,0.62,1.62,1.88,1,NO BET,10.0,0.0,0.0,0.0,NO BET,1353.8,1404.2,14.6,0.9,0.87,0.3322,NO DRAW SIGNAL,SCORE CALIBRE - PROBA PRUDENTE,A recalculer via player_scorers,0.2614,0.7386,0.3448,0.6552,"[('0-0', 0.1179), ('1-0', 0.1176), ('1-1', 0.1083), ('0-1', 0.1078), ('2-0', 0.0599)]",0.0,0.0,0.0,0.0,121.08,0-0,11.79,1-0,11.76,1-1,10.83,LOSS,0,0.0,-0.0,1.0,-1.0,2026-04-25 19:45:00,D
