date,sport,category,home_team,away_team,market,selection,ai_probability,bookmaker_odds,value,bet_mode,odds_source,result,won,surface,home_matches,away_matches
20260405,Monte Carlo Masters,tennis,Felix Auger Aliassime,Casper Ruud,Player 1 Win,Felix Auger Aliassime,0.66,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,97,71
20260405,Monte Carlo Masters,tennis,Felix Auger Aliassime,Casper Ruud,Player 2 Win,Casper Ruud,0.34,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,97,71
20260405,Monte Carlo Masters,tennis,Zizou Bergs,Alexander Zverev,Player 1 Win,Zizou Bergs,0.0888,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,73,104
20260405,Monte Carlo Masters,tennis,Zizou Bergs,Alexander Zverev,Player 2 Win,Alexander Zverev,0.9112,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,73,104
20260405,Monte Carlo Masters,tennis,Joao Fonseca,Matteo Berrettini,Player 1 Win,Joao Fonseca,0.6432,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,54,52
20260405,Monte Carlo Masters,tennis,Joao Fonseca,Matteo Berrettini,Player 2 Win,Matteo Berrettini,0.3568,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,54,52
20260405,Monte Carlo Masters,tennis,Alexander Blockx,Alex De Minaur,Player 1 Win,Alexander Blockx,0.1509,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,15,98
20260405,Monte Carlo Masters,tennis,Alexander Blockx,Alex De Minaur,Player 2 Win,Alex De Minaur,0.8491,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,15,98
20260405,Monte Carlo Masters,tennis,Alexander Blockx,Denis Shapovalov,Player 1 Win,Alexander Blockx,0.417,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,16,60
20260405,Monte Carlo Masters,tennis,Alexander Blockx,Denis Shapovalov,Player 2 Win,Denis Shapovalov,0.583,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,16,60
20260405,Monte Carlo Masters,tennis,Francisco Comesana,Flavio Cobolli,Player 1 Win,Francisco Comesana,0.138,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,53,77
20260405,Monte Carlo Masters,tennis,Francisco Comesana,Flavio Cobolli,Player 2 Win,Flavio Cobolli,0.862,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,53,77
20260405,Monte Carlo Masters,tennis,Hubert Hurkacz,Luciano Darderi,Player 1 Win,Hubert Hurkacz,0.2961,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,39,76
20260405,Monte Carlo Masters,tennis,Hubert Hurkacz,Luciano Darderi,Player 2 Win,Luciano Darderi,0.7039,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,39,76
20260405,Monte Carlo Masters,tennis,Moise Kouame,Ugo Humbert,Player 1 Win,Moise Kouame,0.2461,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,3,66
20260405,Monte Carlo Masters,tennis,Moise Kouame,Ugo Humbert,Player 2 Win,Ugo Humbert,0.7539,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,3,66
20260405,Monte Carlo Masters,tennis,Tomas Machac,Daniel Altmaier,Player 1 Win,Tomas Machac,0.7065,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,59,61
20260405,Monte Carlo Masters,tennis,Tomas Machac,Daniel Altmaier,Player 2 Win,Daniel Altmaier,0.2935,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,59,61
20260405,Monte Carlo Masters,tennis,Stefanos Tsitsipas,Francisco Cerundolo,Player 1 Win,Stefanos Tsitsipas,0.3443,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,58,84
20260405,Monte Carlo Masters,tennis,Stefanos Tsitsipas,Francisco Cerundolo,Player 2 Win,Francisco Cerundolo,0.6557,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,58,84
20260405,Monte Carlo Masters,tennis,Casper Ruud,Alexei Popyrin,Player 1 Win,Casper Ruud,0.8051,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,72,53
20260405,Monte Carlo Masters,tennis,Casper Ruud,Alexei Popyrin,Player 2 Win,Alexei Popyrin,0.1949,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,72,53
20260405,Monte Carlo Masters,tennis,Alexandre Muller,Corentin Moutet,Player 1 Win,Alexandre Muller,0.3616,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,61,70
20260405,Monte Carlo Masters,tennis,Alexandre Muller,Corentin Moutet,Player 2 Win,Corentin Moutet,0.6384,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,61,70
20260405,Monte Carlo Masters,tennis,Marin Cilic,Alexander Shevchenko,Player 1 Win,Marin Cilic,0.4916,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,36,46
20260405,Monte Carlo Masters,tennis,Marin Cilic,Alexander Shevchenko,Player 2 Win,Alexander Shevchenko,0.5084,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,36,46
20260405,Monte Carlo Masters,tennis,Matteo Arnaldi,Cristian Garin,Player 1 Win,Matteo Arnaldi,0.4201,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,48,18
20260405,Monte Carlo Masters,tennis,Matteo Arnaldi,Cristian Garin,Player 2 Win,Cristian Garin,0.5799,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,48,18
20260405,Monte Carlo Masters,tennis,Zizou Bergs,Adrian Mannarino,Player 1 Win,Zizou Bergs,0.548,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,74,43
20260405,Monte Carlo Masters,tennis,Zizou Bergs,Adrian Mannarino,Player 2 Win,Adrian Mannarino,0.452,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,74,43
20260405,Monte Carlo Masters,tennis,Nuno Borges,Andrey Rublev,Player 1 Win,Nuno Borges,0.2116,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,78,78
20260405,Monte Carlo Masters,tennis,Nuno Borges,Andrey Rublev,Player 2 Win,Andrey Rublev,0.7884,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,78,78
20260405,Monte Carlo Masters,tennis,Arthur Rinderknech,Karen Khachanov,Player 1 Win,Arthur Rinderknech,0.4177,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,70,70
20260405,Monte Carlo Masters,tennis,Arthur Rinderknech,Karen Khachanov,Player 2 Win,Karen Khachanov,0.5823,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,70,70
20260405,Monte Carlo Masters,tennis,Gabriel Diallo,Joao Fonseca,Player 1 Win,Gabriel Diallo,0.2768,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,68,55
20260405,Monte Carlo Masters,tennis,Gabriel Diallo,Joao Fonseca,Player 2 Win,Joao Fonseca,0.7232,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,68,55
20260405,Monte Carlo Masters,tennis,Matteo Berrettini,Roberto Bautista Agut,Player 1 Win,Matteo Berrettini,0.6902,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,53,47
