match_id
2026-05-24T19:00:00Z_Villarreal_Atlético Madrid_Home Win
2026-05-26T18:45:00Z_Saint Etienne_Nice_Home Win
2026-05-24T15:00:00Z_Liverpool_Brentford_Home Win
2026-05-23T18:45:00Z_Lazio_Pisa_Home Win
2026-05-23T19:00:00Z_Mallorca_Oviedo_Home Win
2026-05-24T16:00:00Z_Napoli_Udinese_Home Win
2026-05-23T19:00:00Z_Real Madrid_Athletic Bilbao_Home Win
2026-05-25T09:00:00Z_Tallon Griekspoor_Matteo Arnaldi_Player 1 Win
2026-05-22T14:35:00Z_Victoria Mboko_Jaqueline Cristian_Player 1 Win
2026-05-25T09:00:00Z_Hugo Gaston_Gael Monfils_Player 2 Win
2026-05-23T12:00:00Z_Victoria Mboko_Emma Navarro_Player 1 Win
2026-05-23T12:30:00Z_Ignacio Buse_Tommy Paul_Player 2 Win
2026-05-25T09:00:00Z_Kaitlin Quevedo_Leolia Jeanjean_Player 1 Win
2026-05-25T09:00:00Z_Cameron Norrie_Adolfo Daniel Vallejo_Player 1 Win
2026-05-25T09:00:00Z_Luca Van Assche_Patrick Kypson_Player 1 Win
2026-05-25T09:00:00Z_Panna Udvardy_Viktorija Golubic_Player 1 Win
2026-05-25T09:00:00Z_Claire Liu_Moyuka Uchijima_Player 1 Win
2026-05-24T08:58:00Z_Pablo Llamas Ruiz_Thiago Agustin Tirante_Player 2 Win
2026-05-24T14:57:00Z_Sara Bejlek_Sloane Stephens_Player 1 Win
2026-05-25T11:50:00Z_Kaitlin Quevedo_Leolia Jeanjean_Player 1 Win
2026-05-24T15:00:00Z_Sara Bejlek_Sloane Stephens_Player 1 Win
2026-05-25T18:15:00Z_Hugo Gaston_Gael Monfils_Player 2 Win
2026-05-26T09:00:00Z_Claire Liu_Moyuka Uchijima_Player 1 Win
2026-05-24T18:15:00Z_Giovanni Mpetshi Perricard_Novak Djokovic_Player 2 Win
2026-05-25T13:30:00Z_Panna Udvardy_Viktorija Golubic_Player 1 Win
2026-05-27T09:00:00Z_Hailey Baptiste_Xiyu Wang_Player 1 Win
2026-05-26T09:00:00Z_Cristian Garin_Learner Tien_Player 2 Win
