date,sport,home_team,away_team,market,ai_probability,bookmaker_odds,value,stake,bet_mode,stake_percent,kelly_fraction,bankroll,result,profit,final_winner,final_score_home,final_score_away,status_detail,selection,category,safety_score,safety_level,confidence,ia_badge,score_exact_1,score_exact_1_proba,score_exact_2,score_exact_2_proba,score_exact_3,score_exact_3_proba,tennis_engine_score,tennis_edge,priority,resolved_at,suggested_stake
2026-05-26T18:45:00Z,soccer_france_ligue_one,Saint Etienne,Nice,Home Win,0.72,2.38,0.7136,1.8,VALUE,0.018,0.12,100.0,LOSS,-1.8,Nice,1.0,2.0,RESOLVED_FROM_MANUAL_RESULTS,saint etienne,football,0.0,,,,,,,,,,,,0.0,,0
2026-05-26T12:20:00Z,tennis_atp_french_open,Cameron Norrie,Adolfo Daniel Vallejo,Player 2 Win,0.5251,2.3,0.2078,0.96,AGGRESSIVE,0.0096,0.12,100.0,LOSS,-0.96,Cameron Norrie,3.0,0.0,RESOLVED_FROM_MANUAL_RESULTS,adolfo daniel vallejo,tennis,0.0,,,,,,,,,,,,0.0,,0
2026-05-26T13:00:00Z,tennis_atp_french_open,Cristian Garin,Learner Tien,Player 2 Win,0.6709,1.62,0.0869,1.8,VALUE,0.018,0.12,100.0,WIN,1.12,Learner Tien,1.0,3.0,RESOLVED_FROM_SOFASCORE,learner tien,tennis,0.0,,,,,,,,,,,,0.0,,0
2026-05-26T13:00:00Z,tennis_wta_french_open,Dalma Galfi,Mayar Sherif,Player 1 Win,0.6006,1.87,0.123,1.8,VALUE,0.018,0.12,100.0,LOSS,-1.8,Mayar Sherif,0.0,2.0,RESOLVED_FROM_SOFASCORE,dalma galfi,tennis,0.0,,,,,,,,,,,,0.0,,0
2026-05-27T11:03:00Z,tennis_atp_french_open,Camilo Ugo Carabelli,Andrey Rublev,Player 2 Win,0.752505,1.4,0.0535,2.2,SAFE PICK,0.022,0.18,100.0,WIN,0.88,Andrey Rublev,1.0,3.0,RESOLVED_FROM_SOFASCORE,Andrey Rublev,tennis,100.0,2 - SAFE PICK,Elite,SAFE PICK,2-0,68.29,2-1,31.71,,,80.87,0.0805,233.64,2026-05-27T14:40:59.719318+00:00,0
2026-05-27T16:20:00Z,tennis_atp_french_open,Casper Ruud,Hamad Medjedovic,Player 1 Win,0.7732,1.42,0.0979,3.0,MEGA VALUE,0.03,0.18,100.0,WIN,1.26,Casper Ruud,3.0,0.0,RESOLVED_FROM_SOFASCORE,Casper Ruud,tennis,100.0,1 - MEGA VALUE,Elite,MEGA VALUE,2-0,68.41,2-1,31.59,,,82.46,0.098,241.27,2026-05-27T21:21:11.749216+00:00,0
2026-05-27T09:00:00Z,tennis_atp_french_open,Federico Cinà,Jesper De Jong,Player 1 Win,0.513,2.36,0.2106,0.72,RISKY VALUE,0.0072,0.12,100.0,LOSS,-0.72,Jesper De Jong,1.0,3.0,RESOLVED_FROM_MANUAL_RESULTS,Federico Cinà,tennis,56.55,4 - RISKY VALUE,,,,,,,,,,,0.0,,0
2026-05-27T09:00:00Z,tennis_atp_french_open,Hubert Hurkacz,Frances Tiafoe,Player 2 Win,0.5334,2.2,0.1735,0.96,AGGRESSIVE,0.0096,0.12,100.0,WIN,1.15,Frances Tiafoe,1.0,3.0,RESOLVED_FROM_MANUAL_RESULTS,frances tiafoe,tennis,0.0,,,,,,,,,,,,0.0,,0
2026-05-27T14:15:00Z,tennis_atp_french_open,Joao Fonseca,Dino Prizmic,Player 1 Win,0.5909475,2.0,0.1819,1.6,VALUE BET,0.016,0.18,100.0,WIN,1.6,Joao Fonseca,3.0,2.0,RESOLVED_FROM_SOFASCORE,Joao Fonseca,tennis,100.0,3 - VALUE BET,Moyenne,VALUE BET,2-0,54.7,2-1,45.3,,,80.45,0.2121,278.63,2026-05-27T21:20:42.029675+00:00,0
2026-05-27T15:50:00Z,tennis_atp_french_open,Lorenzo Sonego,Tommy Paul,Player 2 Win,0.8671,1.17,0.0145,0.6,RISKY VALUE,0.006,0.0853,100.0,PENDING,0.0,,,,RESULT_NOT_FOUND_VERIFY_MANUALLY,Tommy Paul,tennis,93.09,4 - RISKY VALUE,Elite,RISKY VALUE,2-0,76.1,2-1,23.9,,,81.93,0.0145,201.91,,0
